expert systems,226
neural nets,200
,189
pattern recognition,161
stability,153
control system analysis,145
artificial intelligence,133
spectral analysis,133
signal processing,122
learning (artificial intelligence),111
expert system,105
genetic algorithms,103
reliability,90
failure analysis,90
statistical analysis,83
design,81
performance analysis,81
circuit analysis computing,78
power convertors,77
feedback,76
