computer vision,230
,224
digital simulation,177
real-time systems,171
performance evaluation,169
microcomputer applications,149
distributed processing,147
computerised instrumentation,134
computer simulation,130
parallel algorithms,129
computer networks,122
parallel architectures,122
parallel programming,107
CAD,105
computerised control,95
image processing,95
neural nets,91
reliability,89
protocols,87
parallel machines,87
